Run,No,File,AES Bytes,AES Encrypt us,AES Decrypt us,AES Verify,SPECK Bytes,SPECK Encrypt us,SPECK Decrypt us,SPECK Verify
5,4,/f04.wav,59142,28898,29883,BERHASIL,59142,24195,29010,BERHASIL
5,5,/f05.wav,65300,31883,33064,BERHASIL,65300,26741,32043,BERHASIL
5,6,/f06.wav,81642,39982,41059,BERHASIL,81642,33431,40057,BERHASIL
5,7,/f07.wav,82478,40285,41674,BERHASIL,82478,33735,40465,BERHASIL
5,8,/f08.wav,83314,40795,42070,BERHASIL,83314,34101,40906,BERHASIL
5,9,/f09.wav,87216,42746,44007,BERHASIL,87216,35670,42810,BERHASIL
5,10,/f10.wav,98766,48362,49901,BERHASIL,98766,40437,48507,BERHASIL
5,11,/f11.wav,123160,60776,61939,BERHASIL,123160,50365,60423,BERHASIL
5,12,/f12.wav,140970,69144,70934,BERHASIL,140970,57659,69211,BERHASIL
5,13,/f13.wav,142386,69568,71923,BERHASIL,142386,58273,69884,BERHASIL
5,14,/f14.wav,145172,71051,73295,BERHASIL,145172,59409,71267,BERHASIL
5,15,/f15.wav,146008,71649,73779,BERHASIL,146008,59745,71667,BERHASIL
